car_model,year_of_manufacture,price,fuel,total_kms
ritz,2014,5000.0,Petrol,12323
sx4,2013,7089.55223880597,Diesel,12132
ciaz,2017,10820.89552238806,Petrol,1110
wagon r,2011,4253.731343283582,Petrol,2133
swift,2014,6865.671641791044,Diesel,2134
vitara brezza,2018,13805.970149253732,Diesel,3421
ciaz,2015,10074.626865671642,Petrol,44444
s cross,2015,9701.492537313432,Diesel,121321
ciaz,2016,13059.701492537313,Diesel,12121
ciaz,2015,11119.402985074626,Diesel,2124
