car_model,year_of_manufacture,price,fuel,total_kms
alto k10,2016,4253.731343283582,Petrol,2311
ignis,2017,7313.432835820897,Petrol,2131
sx4,2011,6567.1641791044785,Petrol,2120
alto k10,2014,3731.3432835820895,Petrol,2199
wagon r,2013,4328.358208955224,Petrol,3221
swift,2011,4477.611940298508,Petrol,31211
swift,2013,6194.029850746269,Petrol,2145
swift,2017,8955.223880597016,Petrol,1900
alto k10,2010,2910.4477611940297,Petrol,12993
ciaz,2015,11119.402985074626,Diesel,38321
